School,Dept,Major,no. of Students,year,semester name,slot no,semester number
SLASS,Eng,BA - English Language Teaching,8,2013,Summer,1,2
SLASS,Eng,BA - English Literature,11,2013,Summer,1,2
SoB,BBA,BBA - Accounting,129,2013,Summer,1,2
SoB,BBA,BBA - Finance,199,2013,Summer,1,2
SoB,BBA,BBA - General Management,14,2013,Summer,1,2
SoB,BBA,BBA - Human Resources Management,41,2013,Summer,1,2
SoB,BBA,BBA - International Business,23,2013,Summer,1,2
SoB,BBA,BBA - Investment Management,3,2013,Summer,1,2
SoB,BBA,BBA - Management Information Systems,10,2013,Summer,1,2
SoB,BBA,BBA - Marketing,84,2013,Summer,1,2
SLASS,SOC,BSS - Anthropology,2,2013,Summer,1,2
SLASS,MED,BSS - Media and Communication,17,2013,Summer,1,2
SLS,SLS,BSc - Biochemistry,2,2013,Summer,1,2
SECS,CSE,BSc - Computer Engineering,69,2013,Summer,1,2
SECS,CSE,BSc - Computer Science,25,2013,Summer,1,2
SoB,ECO,BSc - Economics,11,2013,Summer,1,2
SECS,EEE,BSc - Electrical and Electronic Engineering,82,2013,Summer,1,2
SECS,EEE,BSc - Electronic and Telecommunication Engineering,26,2013,Summer,1,2
SESM,EMgt,BSc - Environmental Science,3,2013,Summer,1,2
SLS,SLS,BSc - Microbiology,16,2013,Summer,1,2
SESM,POP,BSc - Population Environment,1,2013,Summer,1,2
SoB,BBA,BBA - Accounting,29,2013,Summer,2,2
SoB,BBA,BBA - Finance,35,2013,Summer,2,2
SoB,BBA,BBA - General Management,9,2013,Summer,2,2
SoB,BBA,BBA - Human Resources Management,14,2013,Summer,2,2
SoB,BBA,BBA - International Business,3,2013,Summer,2,2
SoB,BBA,BBA - Management Information Systems,3,2013,Summer,2,2
SoB,BBA,BBA - Marketing,24,2013,Summer,2,2
SLASS,SOC,BSS - Anthropology,1,2013,Summer,2,2
SLASS,MED,BSS - Media and Communication,1,2013,Summer,2,2
SLS,SLS,BSc - Biochemistry,1,2013,Summer,2,2
SECS,CSE,BSc - Computer Engineering,14,2013,Summer,2,2
SECS,CSE,BSc - Computer Science,11,2013,Summer,2,2
SECS,EEE,BSc - Electrical and Electronic Engineering,17,2013,Summer,2,2
SECS,EEE,BSc - Electronic and Telecommunication Engineering,4,2013,Summer,2,2
SESM,EMgt,BSc - Environmental Science,1,2013,Summer,2,2
SLS,SLS,BSc - Microbiology,4,2013,Summer,2,2
SLASS,Eng,BA - English Language Teaching,3,2013,Autumn,1,3
SLASS,Eng,BA - English Literature,6,2013,Autumn,1,3
SoB,BBA,BBA - Accounting,96,2013,Autumn,1,3
SoB,BBA,BBA - Finance,104,2013,Autumn,1,3
SoB,BBA,BBA - General Management,13,2013,Autumn,1,3
SoB,BBA,BBA - Human Resources Management,19,2013,Autumn,1,3
SoB,BBA,BBA - International Business,18,2013,Autumn,1,3
SoB,BBA,BBA - Investment Management,2,2013,Autumn,1,3
SoB,BBA,BBA - Management Information Systems,4,2013,Autumn,1,3
SoB,BBA,BBA - Marketing,57,2013,Autumn,1,3
SLASS,SOC,BSS - Anthropology,1,2013,Autumn,1,3
SLASS,MED,BSS - Media and Communication,10,2013,Autumn,1,3
SLS,SLS,BSc - Biochemistry,3,2013,Autumn,1,3
SECS,CSE,BSc - Computer Engineering,30,2013,Autumn,1,3
SECS,CSE,BSc - Computer Science,14,2013,Autumn,1,3
SoB,ECO,BSc - Economics,10,2013,Autumn,1,3
SECS,EEE,BSc - Electrical and Electronic Engineering,42,2013,Autumn,1,3
SECS,EEE,BSc - Electronic and Telecommunication Engineering,6,2013,Autumn,1,3
SESM,ESc,BSc - Environmental Management,1,2013,Autumn,1,3
SESM,EMgt,BSc - Environmental Science,6,2013,Autumn,1,3
SLS,SLS,BSc - Microbiology,5,2013,Autumn,1,3
SLASS,Eng,BA - English Language Teaching,3,2013,Autumn,2,3
SLASS,Eng,BA - English Literature,5,2013,Autumn,2,3
SoB,BBA,BBA - Accounting,122,2013,Autumn,2,3
SoB,BBA,BBA - Finance,101,2013,Autumn,2,3
SoB,BBA,BBA - General Management,16,2013,Autumn,2,3
SoB,BBA,BBA - Human Resources Management,26,2013,Autumn,2,3
SoB,BBA,BBA - International Business,25,2013,Autumn,2,3
SoB,BBA,BBA - Investment Management,2,2013,Autumn,2,3
SoB,BBA,BBA - Management Information Systems,2,2013,Autumn,2,3
SoB,BBA,BBA - Marketing,46,2013,Autumn,2,3
SLASS,SOC,BSS - Anthropology,1,2013,Autumn,2,3
SLASS,MED,BSS - Media and Communication,5,2013,Autumn,2,3
SLS,SLS,BSc - Biochemistry,4,2013,Autumn,2,3
SECS,CSE,BSc - Computer Engineering,35,2013,Autumn,2,3
SECS,CSE,BSc - Computer Science,19,2013,Autumn,2,3
SoB,ECO,BSc - Economics,6,2013,Autumn,2,3
SECS,EEE,BSc - Electrical and Electronic Engineering,46,2013,Autumn,2,3
SECS,EEE,BSc - Electronic and Telecommunication Engineering,14,2013,Autumn,2,3
SESM,ESc,BSc - Environmental Management,1,2013,Autumn,2,3
SESM,EMgt,BSc - Environmental Science,3,2013,Autumn,2,3
SLS,SLS,BSc - Microbiology,10,2013,Autumn,2,3
SLASS,Eng,BA - English Language Teaching,9,2014,Spring,1,1
SLASS,Eng,BA - English Literature,22,2014,Spring,1,1
SoB,BBA,BBA - Accounting,204,2014,Spring,1,1
SoB,BBA,BBA - Finance,252,2014,Spring,1,1
SoB,BBA,BBA - General Management,35,2014,Spring,1,1
SoB,BBA,BBA - Human Resources Management,48,2014,Spring,1,1
SoB,BBA,BBA - International Business,51,2014,Spring,1,1
SoB,BBA,BBA - Investment Management,1,2014,Spring,1,1
SoB,BBA,BBA - Management Information Systems,6,2014,Spring,1,1
SoB,BBA,BBA - Marketing,119,2014,Spring,1,1
SLASS,SOC,BSS - Anthropology,1,2014,Spring,1,1
SLASS,MED,BSS - Media and Communication,36,2014,Spring,1,1
SLS,SLS,BSc - Biochemistry,9,2014,Spring,1,1
SECS,CSE,BSc - Computer Engineering,83,2014,Spring,1,1
SECS,CSE,BSc - Computer Science,52,2014,Spring,1,1
SoB,ECO,BSc - Economics,11,2014,Spring,1,1
SECS,EEE,BSc - Electrical and Electronic Engineering,84,2014,Spring,1,1
SECS,EEE,BSc - Electronic and Telecommunication Engineering,16,2014,Spring,1,1
SESM,ESc,BSc - Environmental Management,2,2014,Spring,1,1
SESM,EMgt,BSc - Environmental Science,9,2014,Spring,1,1
SLS,SLS,BSc - Microbiology,16,2014,Spring,1,1
SLASS,Eng,BA - English Language Teaching,2,2014,Spring,2,1
SLASS,Eng,BA - English Literature,1,2014,Spring,2,1
SoB,BBA,BBA - Accounting,82,2014,Spring,2,1
SoB,BBA,BBA - Finance,103,2014,Spring,2,1
SoB,BBA,BBA - General Management,19,2014,Spring,2,1
SoB,BBA,BBA - Human Resources Management,21,2014,Spring,2,1
SoB,BBA,BBA - International Business,18,2014,Spring,2,1
SoB,BBA,BBA - Management Information Systems,4,2014,Spring,2,1
SoB,BBA,BBA - Marketing,58,2014,Spring,2,1
SLASS,MED,BSS - Media and Communication,7,2014,Spring,2,1
SECS,CSE,BSc - Computer Engineering,26,2014,Spring,2,1
SECS,CSE,BSc - Computer Science,10,2014,Spring,2,1
SoB,ECO,BSc - Economics,3,2014,Spring,2,1
SECS,EEE,BSc - Electrical and Electronic Engineering,27,2014,Spring,2,1
SECS,EEE,BSc - Electronic and Telecommunication Engineering,3,2014,Spring,2,1
SESM,ESc,BSc - Environmental Management,1,2014,Spring,2,1
SESM,EMgt,BSc - Environmental Science,2,2014,Spring,2,1
SLS,SLS,BSc - Microbiology,4,2014,Spring,2,1
SLASS,Eng,BA - English Language Teaching,7,2014,Summer,1,2
SLASS,Eng,BA - English Literature,8,2014,Summer,1,2
SoB,BBA,BBA - Accounting,196,2014,Summer,1,2
SoB,BBA,BBA - Finance,239,2014,Summer,1,2
SoB,BBA,BBA - General Management,25,2014,Summer,1,2
SoB,BBA,BBA - Human Resources Management,34,2014,Summer,1,2
SoB,BBA,BBA - International Business,35,2014,Summer,1,2
SoB,BBA,BBA - Investment Management,1,2014,Summer,1,2
SoB,BBA,BBA - Management Information Systems,9,2014,Summer,1,2
SoB,BBA,BBA - Marketing,115,2014,Summer,1,2
SLASS,SOC,BSS - Anthropology,2,2014,Summer,1,2
SLASS,MED,BSS - Media and Communication,13,2014,Summer,1,2
SLS,SLS,BSc - Biochemistry,8,2014,Summer,1,2
SECS,CSE,BSc - Computer Engineering,91,2014,Summer,1,2
SECS,CSE,BSc - Computer Science,50,2014,Summer,1,2
SoB,ECO,BSc - Economics,11,2014,Summer,1,2
SECS,EEE,BSc - Electrical and Electronic Engineering,65,2014,Summer,1,2
SECS,EEE,BSc - Electronic and Telecommunication Engineering,26,2014,Summer,1,2
SESM,ESc,BSc - Environmental Management,1,2014,Summer,1,2
SESM,EMgt,BSc - Environmental Science,5,2014,Summer,1,2
SLS,SLS,BSc - Microbiology,12,2014,Summer,1,2
SLASS,Eng,BA - English Language Teaching,2,2014,Summer,2,2
SLASS,Eng,BA - English Literature,4,2014,Summer,2,2
SoB,BBA,BBA - Accounting,81,2014,Summer,2,2
SoB,BBA,BBA - Finance,85,2014,Summer,2,2
SoB,BBA,BBA - General Management,8,2014,Summer,2,2
SoB,BBA,BBA - Human Resources Management,17,2014,Summer,2,2
SoB,BBA,BBA - International Business,15,2014,Summer,2,2
SoB,BBA,BBA - Management Information Systems,3,2014,Summer,2,2
SoB,BBA,BBA - Marketing,47,2014,Summer,2,2
SLASS,MED,BSS - Media and Communication,5,2014,Summer,2,2
SLS,SLS,BSc - Biochemistry,2,2014,Summer,2,2
SECS,CSE,BSc - Computer Engineering,23,2014,Summer,2,2
SECS,CSE,BSc - Computer Science,16,2014,Summer,2,2
SoB,ECO,BSc - Economics,3,2014,Summer,2,2
SECS,EEE,BSc - Electrical and Electronic Engineering,31,2014,Summer,2,2
SECS,EEE,BSc - Electronic and Telecommunication Engineering,7,2014,Summer,2,2
SESM,ESc,BSc - Environmental Management,1,2014,Summer,2,2
SESM,EMgt,BSc - Environmental Science,1,2014,Summer,2,2
SLS,SLS,BSc - Microbiology,4,2014,Summer,2,2
SLASS,Eng,BA - English Language Teaching,6,2014,Autumn,1,3
SLASS,Eng,BA - English Literature,8,2014,Autumn,1,3
SoB,BBA,BBA - Accounting,120,2014,Autumn,1,3
SoB,BBA,BBA - Finance,101,2014,Autumn,1,3
SoB,BBA,BBA - General Management,21,2014,Autumn,1,3
SoB,BBA,BBA - Human Resources Management,31,2014,Autumn,1,3
SoB,BBA,BBA - International Business,22,2014,Autumn,1,3
SoB,BBA,BBA - Investment Management,1,2014,Autumn,1,3
SoB,BBA,BBA - Management Information Systems,10,2014,Autumn,1,3
SoB,BBA,BBA - Marketing,80,2014,Autumn,1,3
SLASS,MED,BSS - Media and Communication,22,2014,Autumn,1,3
SLASS,SOC,BSS - Sociology,1,2014,Autumn,1,3
SLS,SLS,BSc - Biochemistry,2,2014,Autumn,1,3
SECS,CSE,BSc - Computer Engineering,41,2014,Autumn,1,3
SECS,CSE,BSc - Computer Science,34,2014,Autumn,1,3
SoB,ECO,BSc - Economics,8,2014,Autumn,1,3
SECS,EEE,BSc - Electrical and Electronic Engineering,43,2014,Autumn,1,3
SECS,EEE,BSc - Electronic and Telecommunication Engineering,17,2014,Autumn,1,3
SESM,ESc,BSc - Environmental Management,3,2014,Autumn,1,3
SESM,EMgt,BSc - Environmental Science,6,2014,Autumn,1,3
SLS,SLS,BSc - Microbiology,5,2014,Autumn,1,3
SLASS,LAW,LLB - Laws (Hons),5,2014,Autumn,1,3
SLASS,Eng,BA - English Language Teaching,4,2014,Autumn,2,3
SLASS,Eng,BA - English Literature,5,2014,Autumn,2,3
SoB,BBA,BBA - Accounting,105,2014,Autumn,2,3
SoB,BBA,BBA - Finance,82,2014,Autumn,2,3
SoB,BBA,BBA - General Management,26,2014,Autumn,2,3
SoB,BBA,BBA - Human Resources Management,28,2014,Autumn,2,3
SoB,BBA,BBA - International Business,14,2014,Autumn,2,3
SoB,BBA,BBA - Management Information Systems,7,2014,Autumn,2,3
SoB,BBA,BBA - Marketing,64,2014,Autumn,2,3
SLASS,MED,BSS - Media and Communication,7,2014,Autumn,2,3
SECS,CSE,BSc - Computer Engineering,36,2014,Autumn,2,3
SECS,CSE,BSc - Computer Science,26,2014,Autumn,2,3
SoB,ECO,BSc - Economics,7,2014,Autumn,2,3
SECS,EEE,BSc - Electrical and Electronic Engineering,41,2014,Autumn,2,3
SECS,EEE,BSc - Electronic and Telecommunication Engineering,11,2014,Autumn,2,3
SESM,ESc,BSc - Environmental Management,1,2014,Autumn,2,3
SESM,EMgt,BSc - Environmental Science,4,2014,Autumn,2,3
SLS,SLS,BSc - Microbiology,4,2014,Autumn,2,3
SLASS,LAW,LLB - Laws (Hons),11,2014,Autumn,2,3
SLASS,Eng,BA - English Language Teaching,9,2015,Spring,1,1
SLASS,Eng,BA - English Literature,26,2015,Spring,1,1
SoB,BBA,BBA - Accounting,205,2015,Spring,1,1
SoB,BBA,BBA - Finance,280,2015,Spring,1,1
SoB,BBA,BBA - General Management,53,2015,Spring,1,1
SoB,BBA,BBA - Human Resources Management,70,2015,Spring,1,1
SoB,BBA,BBA - International Business,52,2015,Spring,1,1
SoB,BBA,BBA - Investment Management,3,2015,Spring,1,1
SoB,BBA,BBA - Management Information Systems,18,2015,Spring,1,1
SoB,BBA,BBA - Marketing,143,2015,Spring,1,1
SLASS,SOC,BSS - Anthropology,1,2015,Spring,1,1
SLASS,MED,BSS - Media and Communication,35,2015,Spring,1,1
SLASS,SOC,BSS - Sociology,2,2015,Spring,1,1
SLS,SLS,BSc - Biochemistry,10,2015,Spring,1,1
SECS,CSE,BSc - Computer Engineering,124,2015,Spring,1,1
SECS,CSE,BSc - Computer Science,74,2015,Spring,1,1
SoB,ECO,BSc - Economics,18,2015,Spring,1,1
SECS,EEE,BSc - Electrical and Electronic Engineering,85,2015,Spring,1,1
SECS,EEE,BSc - Electronic and Telecommunication Engineering,37,2015,Spring,1,1
SESM,ESc,BSc - Environmental Management,4,2015,Spring,1,1
SESM,EMgt,BSc - Environmental Science,13,2015,Spring,1,1
SLS,SLS,BSc - Microbiology,36,2015,Spring,1,1
SLASS,LAW,LLB - Laws (Hons),26,2015,Spring,1,1
SLASS,Eng,BA - English Language Teaching,6,2015,Spring,2,1
SLASS,Eng,BA - English Literature,13,2015,Spring,2,1
SoB,BBA,BBA - Accounting,111,2015,Spring,2,1
SoB,BBA,BBA - Finance,135,2015,Spring,2,1
SoB,BBA,BBA - General Management,20,2015,Spring,2,1
SoB,BBA,BBA - Human Resources Management,49,2015,Spring,2,1
SoB,BBA,BBA - International Business,42,2015,Spring,2,1
SoB,BBA,BBA - Investment Management,1,2015,Spring,2,1
SoB,BBA,BBA - Management Information Systems,10,2015,Spring,2,1
SoB,BBA,BBA - Marketing,95,2015,Spring,2,1
SLASS,SOC,BSS - Anthropology,1,2015,Spring,2,1
SLASS,MED,BSS - Media and Communication,19,2015,Spring,2,1
SLASS,SOC,BSS - Sociology,2,2015,Spring,2,1
SLS,SLS,BSc - Biochemistry,5,2015,Spring,2,1
SECS,CSE,BSc - Computer Engineering,76,2015,Spring,2,1
SECS,CSE,BSc - Computer Science,56,2015,Spring,2,1
SoB,ECO,BSc - Economics,6,2015,Spring,2,1
SECS,EEE,BSc - Electrical and Electronic Engineering,83,2015,Spring,2,1
SECS,EEE,BSc - Electronic and Telecommunication Engineering,22,2015,Spring,2,1
SESM,ESc,BSc - Environmental Management,2,2015,Spring,2,1
SESM,EMgt,BSc - Environmental Science,7,2015,Spring,2,1
SLS,SLS,BSc - Microbiology,14,2015,Spring,2,1
SLASS,LAW,LLB - Laws (Hons),24,2015,Spring,2,1
SLASS,Eng,BA - English Language Teaching,7,2015,Summer,1,2
SLASS,Eng,BA - English Literature,7,2015,Summer,1,2
SoB,BBA,BBA - Accounting,135,2015,Summer,1,2
SoB,BBA,BBA - Finance,143,2015,Summer,1,2
SoB,BBA,BBA - General Management,19,2015,Summer,1,2
SoB,BBA,BBA - Human Resources Management,43,2015,Summer,1,2
SoB,BBA,BBA - International Business,29,2015,Summer,1,2
SoB,BBA,BBA - Management Information Systems,12,2015,Summer,1,2
SoB,BBA,BBA - Marketing,66,2015,Summer,1,2
SLASS,SOC,BSS - Anthropology,2,2015,Summer,1,2
SLASS,MED,BSS - Media and Communication,9,2015,Summer,1,2
SLS,SLS,BSc - Biochemistry,5,2015,Summer,1,2
SECS,CSE,BSc - Computer Engineering,8,2015,Summer,1,2
SECS,CSE,BSc - Computer Science,8,2015,Summer,1,2
SECS,CSE,BSc - Computer Science and Engineering,131,2015,Summer,1,2
SoB,ECO,BSc - Economics,13,2015,Summer,1,2
SECS,EEE,BSc - Electrical and Electronic Engineering,50,2015,Summer,1,2
SECS,EEE,BSc - Electronic and Telecommunication Engineering,10,2015,Summer,1,2
SESM,ESc,BSc - Environmental Management,2,2015,Summer,1,2
SESM,EMgt,BSc - Environmental Science,8,2015,Summer,1,2
SLS,SLS,BSc - Microbiology,9,2015,Summer,1,2
SLASS,LAW,LLB - Laws (Hons),12,2015,Summer,1,2
SLASS,Eng,BA - English Language Teaching,1,2015,Summer,2,2
SLASS,Eng,BA - English Literature,5,2015,Summer,2,2
SoB,BBA,BBA - Accounting,52,2015,Summer,2,2
SoB,BBA,BBA - Finance,58,2015,Summer,2,2
SoB,BBA,BBA - General Management,6,2015,Summer,2,2
SoB,BBA,BBA - Human Resources Management,25,2015,Summer,2,2
SoB,BBA,BBA - International Business,8,2015,Summer,2,2
SoB,BBA,BBA - Management Information Systems,3,2015,Summer,2,2
SoB,BBA,BBA - Marketing,23,2015,Summer,2,2
SLASS,SOC,BSS - Anthropology,1,2015,Summer,2,2
SLASS,MED,BSS - Media and Communication,6,2015,Summer,2,2
SLS,SLS,BSc - Biochemistry,2,2015,Summer,2,2
SECS,CSE,BSc - Computer Engineering,1,2015,Summer,2,2
SECS,CSE,BSc - Computer Science,3,2015,Summer,2,2
SECS,CSE,BSc - Computer Science and Engineering,56,2015,Summer,2,2
SoB,ECO,BSc - Economics,4,2015,Summer,2,2
SECS,EEE,BSc - Electrical and Electronic Engineering,14,2015,Summer,2,2
SECS,EEE,BSc - Electronic and Telecommunication Engineering,5,2015,Summer,2,2
SESM,EMgt,BSc - Environmental Science,1,2015,Summer,2,2
SLS,SLS,BSc - Microbiology,3,2015,Summer,2,2
SLASS,LAW,LLB - Laws (Hons),4,2015,Summer,2,2
SLASS,Eng,BA - English Language Teaching,5,2015,Autumn,1,3
SLASS,Eng,BA - English Literature,10,2015,Autumn,1,3
SoB,BBA,BBA - Accounting,83,2015,Autumn,1,3
SoB,BBA,BBA - Finance,79,2015,Autumn,1,3
SoB,BBA,BBA - General Management,24,2015,Autumn,1,3
SoB,BBA,BBA - Human Resources Management,39,2015,Autumn,1,3
SoB,BBA,BBA - International Business,25,2015,Autumn,1,3
SoB,BBA,BBA - Investment Management,2,2015,Autumn,1,3
SoB,BBA,BBA - Management Information Systems,5,2015,Autumn,1,3
SoB,BBA,BBA - Marketing,80,2015,Autumn,1,3
SLASS,SOC,BSS - Anthropology,2,2015,Autumn,1,3
SLASS,MED,BSS - Media and Communication,10,2015,Autumn,1,3
SLASS,SOC,BSS - Sociology,1,2015,Autumn,1,3
SLS,SLS,BSc - Biochemistry,6,2015,Autumn,1,3
SECS,CSE,BSc - Computer Engineering,3,2015,Autumn,1,3
SECS,CSE,BSc - Computer Science,11,2015,Autumn,1,3
SECS,CSE,BSc - Computer Science and Engineering,75,2015,Autumn,1,3
SoB,ECO,BSc - Economics,14,2015,Autumn,1,3
SECS,EEE,BSc - Electrical and Electronic Engineering,29,2015,Autumn,1,3
SECS,EEE,BSc - Electronic and Telecommunication Engineering,8,2015,Autumn,1,3
SESM,ESc,BSc - Environmental Management,1,2015,Autumn,1,3
SESM,EMgt,BSc - Environmental Science,6,2015,Autumn,1,3
SLS,SLS,BSc - Microbiology,9,2015,Autumn,1,3
SLASS,LAW,LLB - Laws (Hons),13,2015,Autumn,1,3
SLASS,Eng,BA - English Language Teaching,9,2015,Autumn,2,3
