School,Dept,Major,no. of Students,year,semester name,slot no,semester number
SLASS,Eng,BA - English Literature,24,2018,Spring,1,1
SoB,BBA,BBA - Accounting,108,2018,Spring,1,1
SoB,BBA,BBA - Finance,113,2018,Spring,1,1
SoB,BBA,BBA - General Management,52,2018,Spring,1,1
SoB,BBA,BBA - Human Resources Management,44,2018,Spring,1,1
SoB,BBA,BBA - International Business,49,2018,Spring,1,1
SoB,BBA,BBA - Investment Management,4,2018,Spring,1,1
SoB,BBA,BBA - Management Information Systems,12,2018,Spring,1,1
SoB,BBA,BBA - Marketing,119,2018,Spring,1,1
SLASS,SOC,BSS - Anthropology,2,2018,Spring,1,1
SLASS,MED,BSS - Media and Communication,15,2018,Spring,1,1
SLASS,SOC,BSS - Sociology,3,2018,Spring,1,1
SLS,SLS,BSc - Biochemistry,18,2018,Spring,1,1
SECS,CSE,BSc - Computer Engineering,5,2018,Spring,1,1
SECS,CSE,BSc - Computer Science,18,2018,Spring,1,1
SECS,CSE,BSc - Computer Science and Engineering,233,2018,Spring,1,1
SoB,ECO,BSc - Economics,12,2018,Spring,1,1
SECS,EEE,BSc - Electrical and Electronic Engineering,66,2018,Spring,1,1
SECS,EEE,BSc - Electronic and Telecommunication Engineering,11,2018,Spring,1,1
SESM,EMgt,BSc - Environmental Management,7,2018,Spring,1,1
SESM,ESc,BSc - Environmental Science,26,2018,Spring,1,1
SECS,PhySci,BSc - Mathematics (Hons),3,2018,Spring,1,1
SLS,SLS,BSc - Microbiology,39,2018,Spring,1,1
SECS,PhySci,BSc - Physics (Hons),3,2018,Spring,1,1
SLASS,LAW,LLB - Laws (Hons),25,2018,Spring,1,1
SLASS,Eng,BA - English Language Teaching,13,2018,Spring,2,1
SLASS,Eng,BA - English Literature,23,2018,Spring,2,1
SoB,BBA,BBA - Accounting,60,2018,Spring,2,1
SoB,BBA,BBA - Finance,117,2018,Spring,2,1
SoB,BBA,BBA - General Management,36,2018,Spring,2,1
SoB,BBA,BBA - Human Resources Management,38,2018,Spring,2,1
SoB,BBA,BBA - International Business,37,2018,Spring,2,1
SoB,BBA,BBA - Investment Management,1,2018,Spring,2,1
SoB,BBA,BBA - Management Information Systems,8,2018,Spring,2,1
SoB,BBA,BBA - Marketing,93,2018,Spring,2,1
SLASS,SOC,BSS - Anthropology,2,2018,Spring,2,1
SLASS,GSG,BSS - Global Studies and Governance,1,2018,Spring,2,1
SLASS,MED,BSS - Media and Communication,11,2018,Spring,2,1
SLASS,SOC,BSS - Sociology,2,2018,Spring,2,1
SLS,SLS,BSc - Biochemistry,17,2018,Spring,2,1
SECS,CSE,BSc - Computer Engineering,3,2018,Spring,2,1
SECS,CSE,BSc - Computer Science,13,2018,Spring,2,1
SECS,CSE,BSc - Computer Science and Engineering,276,2018,Spring,2,1
SoB,ECO,BSc - Economics,11,2018,Spring,2,1
SECS,EEE,BSc - Electrical and Electronic Engineering,75,2018,Spring,2,1
SECS,EEE,BSc - Electronic and Telecommunication Engineering,11,2018,Spring,2,1
SESM,EMgt,BSc - Environmental Management,3,2018,Spring,2,1
SESM,ESc,BSc - Environmental Science,17,2018,Spring,2,1
SECS,PhySci,BSc - Mathematics (Hons),2,2018,Spring,2,1
SLS,SLS,BSc - Microbiology,42,2018,Spring,2,1
SECS,PhySci,BSc - Physics (Hons),1,2018,Spring,2,1
SLASS,LAW,LLB - Laws (Hons),22,2018,Spring,2,1
SLASS,ENG,BA - English Language Teaching,4,2018,Summer,1,2
SLASS,ENG,BA - English Literature,18,2018,Summer,1,2
SoB,BBA,BBA - Accounting,55,2018,Summer,1,2
SoB,BBA,BBA - Finance,68,2018,Summer,1,2
SoB,BBA,BBA - General Management,32,2018,Summer,1,2
SoB,BBA,BBA - Human Resources Management,40,2018,Summer,1,2
SoB,BBA,BBA - International Business,36,2018,Summer,1,2
SoB,BBA,BBA - Investment Management,1,2018,Summer,1,2
SoB,BBA,BBA - Management Information Systems,9,2018,Summer,1,2
SoB,BBA,BBA - Marketing,86,2018,Summer,1,2
SESM,GSG,BSS - Global Studies and Governance,1,2018,Summer,1,2
SLASS,MED,BSS - Media and Communication,9,2018,Summer,1,2
SLASS,SOC,BSS - Sociology,1,2018,Summer,1,2
SLS,SLS,BSc - Biochemistry,12,2018,Summer,1,2
SECS,CSE,BSc - Computer Engineering,2,2018,Summer,1,2
SECS,CSE,BSc - Computer Science,14,2018,Summer,1,2
SECS,CSE,BSc - Computer Science and Engineering,146,2018,Summer,1,2
SoB,ECO,BSc - Economics,17,2018,Summer,1,2
SECS,EEE,BSc - Electrical and Electronic Engineering,34,2018,Summer,1,2
SECS,EEE,BSc - Electronic and Telecommunication Engineering,10,2018,Summer,1,2
SESM,EMgt,BSc - Environmental Management,2,2018,Summer,1,2
SESM,ESc,BSc - Environmental Science,13,2018,Summer,1,2
SLS,SLS,BSc - Microbiology,23,2018,Summer,1,2
SLASS,LAW,LLB - Laws (Hons),13,2018,Summer,1,2
SESM,Phar,B.Pharm - Pharmacy,49,2018,Summer,2,2
SLASS,ENG,BA - English Language Teaching,4,2018,Summer,2,2
SLASS,ENG,BA - English Literature,7,2018,Summer,2,2
SoB,BBA,BBA - Accounting,41,2018,Summer,2,2
SoB,BBA,BBA - Finance,42,2018,Summer,2,2
SoB,BBA,BBA - General Management,23,2018,Summer,2,2
SoB,BBA,BBA - Human Resources Management,30,2018,Summer,2,2
SoB,BBA,BBA - International Business,33,2018,Summer,2,2
SoB,BBA,BBA - Investment Management,1,2018,Summer,2,2
SoB,BBA,BBA - Management Information Systems,11,2018,Summer,2,2
SoB,BBA,BBA - Marketing,69,2018,Summer,2,2
SLASS,SOC,BSS - Anthropology,2,2018,Summer,2,2
SESM,GSG,BSS - Global Studies and Governance,2,2018,Summer,2,2
SLASS,MED,BSS - Media and Communication,2,2018,Summer,2,2
SLASS,SOC,BSS - Sociology,1,2018,Summer,2,2
SLS,SLS,BSc - Biochemistry,3,2018,Summer,2,2
SECS,CSE,BSc - Computer Engineering,1,2018,Summer,2,2
SECS,CSE,BSc - Computer Science,6,2018,Summer,2,2
SECS,CSE,BSc - Computer Science and Engineering,117,2018,Summer,2,2
SoB,ECO,BSc - Economics,6,2018,Summer,2,2
SECS,EEE,BSc - Electrical and Electronic Engineering,36,2018,Summer,2,2
SECS,EEE,BSc - Electronic and Telecommunication Engineering,2,2018,Summer,2,2
SESM,EMgt,BSc - Environmental Management,2,2018,Summer,2,2
SESM,ESc,BSc - Environmental Science,7,2018,Summer,2,2
SECS,PhySci,BSc - Mathematics (Hons),1,2018,Summer,2,2
SLS,SLS,BSc - Microbiology,18,2018,Summer,2,2
SLASS,LAW,LLB - Laws (Hons),18,2018,Summer,2,2
SESM,Phar,B.Pharm - Pharmacy,33,2018,Autumn,1,3
SLASS,ENG,BA - English Language Teaching,4,2018,Autumn,1,3
SLASS,ENG,BA - English Literature,7,2018,Autumn,1,3
SoB,BBA,BBA - Accounting,38,2018,Autumn,1,3
SoB,BBA,BBA - Finance,44,2018,Autumn,1,3
SoB,BBA,BBA - General Management,29,2018,Autumn,1,3
SoB,BBA,BBA - Human Resources Management,31,2018,Autumn,1,3
SoB,BBA,BBA - International Business,23,2018,Autumn,1,3
SoB,BBA,BBA - Management Information Systems,9,2018,Autumn,1,3
SoB,BBA,BBA - Marketing,54,2018,Autumn,1,3
SESM,GSG,BSS - Global Studies and Governance,2,2018,Autumn,1,3
SLASS,MED,BSS - Media and Communication,10,2018,Autumn,1,3
SLS,SLS,BSc - Biochemistry,11,2018,Autumn,1,3
SECS,CSE,BSc - Computer Engineering,3,2018,Autumn,1,3
SECS,CSE,BSc - Computer Science,3,2018,Autumn,1,3
SECS,CSE,BSc - Computer Science and Engineering,99,2018,Autumn,1,3
SoB,ECO,BSc - Economics,10,2018,Autumn,1,3
SECS,EEE,BSc - Electrical and Electronic Engineering,18,2018,Autumn,1,3
SECS,EEE,BSc - Electronic and Telecommunication Engineering,5,2018,Autumn,1,3
SESM,EMgt,BSc - Environmental Management,2,2018,Autumn,1,3
SESM,ESc,BSc - Environmental Science,10,2018,Autumn,1,3
SECS,PhySci,BSc - Mathematics (Hons),2,2018,Autumn,1,3
SLS,SLS,BSc - Microbiology,8,2018,Autumn,1,3
SECS,PhySci,BSc - Physics (Hons),3,2018,Autumn,1,3
SLASS,LAW,LLB - Laws (Hons),11,2018,Autumn,1,3
SESM,Phar,B.Pharm - Pharmacy,60,2018,Autumn,2,3
SLASS,ENG,BA - English Language Teaching,13,2018,Autumn,2,3
SLASS,ENG,BA - English Literature,11,2018,Autumn,2,3
SoB,BBA,BBA - Accounting,78,2018,Autumn,2,3
SoB,BBA,BBA - Finance,79,2018,Autumn,2,3
SoB,BBA,BBA - General Management,41,2018,Autumn,2,3
SoB,BBA,BBA - Human Resources Management,59,2018,Autumn,2,3
SoB,BBA,BBA - International Business,43,2018,Autumn,2,3
SoB,BBA,BBA - Management Information Systems,10,2018,Autumn,2,3
SoB,BBA,BBA - Marketing,101,2018,Autumn,2,3
SESM,GSG,BSS - Global Studies and Governance,2,2018,Autumn,2,3
SLASS,MED,BSS - Media and Communication,9,2018,Autumn,2,3
SLASS,SOC,BSS - Sociology,3,2018,Autumn,2,3
SLS,SLS,BSc - Biochemistry,9,2018,Autumn,2,3
SECS,CSE,BSc - Computer Engineering,4,2018,Autumn,2,3
SECS,CSE,BSc - Computer Science,19,2018,Autumn,2,3
SECS,CSE,BSc - Computer Science and Engineering,195,2018,Autumn,2,3
SoB,ECO,BSc - Economics,6,2018,Autumn,2,3
SECS,EEE,BSc - Electrical and Electronic Engineering,45,2018,Autumn,2,3
SECS,EEE,BSc - Electronic and Telecommunication Engineering,6,2018,Autumn,2,3
SESM,EMgt,BSc - Environmental Management,4,2018,Autumn,2,3
SESM,ESc,BSc - Environmental Science,10,2018,Autumn,2,3
SLS,SLS,BSc - Microbiology,14,2018,Autumn,2,3
SECS,PhySci,BSc - Physics (Hons),2,2018,Autumn,2,3
SESM,POP,BSc - Population Environment,1,2018,Autumn,2,3
SLASS,LAW,LLB - Laws (Hons),14,2018,Autumn,2,3
SESM,Phar,B.Pharm - Pharmacy,127,2019,Spring,1,1
SLASS,ENG,BA - English Language Teaching,13,2019,Spring,1,1
SLASS,ENG,BA - English Literature,27,2019,Spring,1,1
SoB,BBA,BBA - Accounting,83,2019,Spring,1,1
SoB,BBA,BBA - Finance,130,2019,Spring,1,1
SoB,BBA,BBA - General Management,50,2019,Spring,1,1
SoB,BBA,BBA - Human Resources Management,38,2019,Spring,1,1
SoB,BBA,BBA - International Business,43,2019,Spring,1,1
SoB,BBA,BBA - Investment Management,2,2019,Spring,1,1
SoB,BBA,BBA - Management Information Systems,20,2019,Spring,1,1
SoB,BBA,BBA - Marketing,123,2019,Spring,1,1
SLASS,SOC,BSS - Anthropology,1,2019,Spring,1,1
SLASS,MED,BSS - Media and Communication,6,2019,Spring,1,1
SLASS,SOC,BSS - Sociology,3,2019,Spring,1,1
SLS,SLS,BSc - Biochemistry,12,2019,Spring,1,1
SECS,CSE,BSc - Computer Engineering,4,2019,Spring,1,1
SECS,CSE,BSc - Computer Science,12,2019,Spring,1,1
SECS,CSE,BSc - Computer Science and Engineering,265,2019,Spring,1,1
SoB,ECO,BSc - Economics,9,2019,Spring,1,1
SECS,EEE,BSc - Electrical and Electronic Engineering,75,2019,Spring,1,1
SECS,EEE,BSc - Electronic and Telecommunication Engineering,6,2019,Spring,1,1
SESM,EMgt,BSc - Environmental Management,2,2019,Spring,1,1
SESM,ESc,BSc - Environmental Science,12,2019,Spring,1,1
SECS,PhySci,BSc - Mathematics (Hons),3,2019,Spring,1,1
SLS,SLS,BSc - Microbiology,27,2019,Spring,1,1
SECS,PhySci,BSc - Physics (Hons),8,2019,Spring,1,1
SESM,POP,BSc - Population Environment,2,2019,Spring,1,1
SLASS,LAW,LLB - Laws (Hons),29,2019,Spring,1,1
SESM,Phar,B.Pharm - Pharmacy,104,2019,Spring,2,1
SLASS,ENG,BA - English Language Teaching,8,2019,Spring,2,1
SLASS,ENG,BA - English Literature,12,2019,Spring,2,1
SoB,BBA,BBA - Accounting,42,2019,Spring,2,1
SoB,BBA,BBA - Finance,85,2019,Spring,2,1
SoB,BBA,BBA - General Management,26,2019,Spring,2,1
SoB,BBA,BBA - Human Resources Management,26,2019,Spring,2,1
SoB,BBA,BBA - International Business,34,2019,Spring,2,1
SoB,BBA,BBA - Investment Management,2,2019,Spring,2,1
SoB,BBA,BBA - Management Information Systems,10,2019,Spring,2,1
SoB,BBA,BBA - Marketing,60,2019,Spring,2,1
SLASS,MED,BSS - Media and Communication,10,2019,Spring,2,1
SLS,SLS,BSc - Biochemistry,10,2019,Spring,2,1
SECS,CSE,BSc - Computer Engineering,1,2019,Spring,2,1
SECS,CSE,BSc - Computer Science,6,2019,Spring,2,1
SECS,CSE,BSc - Computer Science and Engineering,185,2019,Spring,2,1
SoB,ECO,BSc - Economics,9,2019,Spring,2,1
SECS,EEE,BSc - Electrical and Electronic Engineering,47,2019,Spring,2,1
SECS,EEE,BSc - Electronic and Telecommunication Engineering,4,2019,Spring,2,1
SESM,EMgt,BSc - Environmental Management,2,2019,Spring,2,1
SESM,ESc,BSc - Environmental Science,5,2019,Spring,2,1
SECS,PhySci,BSc - Mathematics (Hons),2,2019,Spring,2,1
SLS,SLS,BSc - Microbiology,22,2019,Spring,2,1
SLASS,LAW,LLB - Laws (Hons),18,2019,Spring,2,1
SESM,Phar,B.Pharm - Pharmacy,103,2019,Summer,1,2
SLASS,ENG,BA - English Language Teaching,9,2019,Summer,1,2
SLASS,ENG,BA - English Literature,22,2019,Summer,1,2
SoB,BBA,BBA - Accounting,43,2019,Summer,1,2
SoB,BBA,BBA - Finance,68,2019,Summer,1,2
SoB,BBA,BBA - General Management,37,2019,Summer,1,2
SoB,BBA,BBA - Human Resources Management,45,2019,Summer,1,2
SoB,BBA,BBA - International Business,26,2019,Summer,1,2
SoB,BBA,BBA - Management Information Systems,7,2019,Summer,1,2
SoB,BBA,BBA - Marketing,63,2019,Summer,1,2
SLASS,SOC,BSS - Anthropology,1,2019,Summer,1,2
SESM,GSG,BSS - Global Studies and Governance,1,2019,Summer,1,2
SLASS,MED,BSS - Media and Communication,8,2019,Summer,1,2
SLASS,SOC,BSS - Sociology,3,2019,Summer,1,2
SLS,SLS,BSc - Biochemistry,7,2019,Summer,1,2
SECS,CSE,BSc - Computer Engineering,7,2019,Summer,1,2
SECS,CSE,BSc - Computer Science,7,2019,Summer,1,2
SECS,CSE,BSc - Computer Science and Engineering,190,2019,Summer,1,2
SoB,ECO,BSc - Economics,5,2019,Summer,1,2
SECS,EEE,BSc - Electrical and Electronic Engineering,53,2019,Summer,1,2
SECS,EEE,BSc - Electronic and Telecommunication Engineering,8,2019,Summer,1,2
SESM,EMgt,BSc - Environmental Management,2,2019,Summer,1,2
SESM,ESc,BSc - Environmental Science,12,2019,Summer,1,2
SECS,PhySci,BSc - Mathematics (Hons),1,2019,Summer,1,2
SLS,SLS,BSc - Microbiology,23,2019,Summer,1,2
SECS,PhySci,BSc - Physics (Hons),1,2019,Summer,1,2
SLASS,LAW,LLB - Laws (Hons),27,2019,Summer,1,2
SESM,Phar,B.Pharm - Pharmacy,65,2019,Summer,2,2
SLASS,ENG,BA - English Language Teaching,6,2019,Summer,2,2
SLASS,ENG,BA - English Literature,7,2019,Summer,2,2
SoB,BBA,BBA - Accounting,24,2019,Summer,2,2
SoB,BBA,BBA - Finance,36,2019,Summer,2,2
SoB,BBA,BBA - General Management,19,2019,Summer,2,2
SoB,BBA,BBA - Human Resources Management,21,2019,Summer,2,2
SoB,BBA,BBA - International Business,22,2019,Summer,2,2
SoB,BBA,BBA - Management Information Systems,1,2019,Summer,2,2
SoB,BBA,BBA - Marketing,32,2019,Summer,2,2
SLASS,SOC,BSS - Anthropology,1,2019,Summer,2,2
SLASS,MED,BSS - Media and Communication,6,2019,Summer,2,2
SLASS,SOC,BSS - Sociology,1,2019,Summer,2,2
SLS,SLS,BSc - Biochemistry,4,2019,Summer,2,2
SECS,CSE,BSc - Computer Engineering,3,2019,Summer,2,2
SECS,CSE,BSc - Computer Science,6,2019,Summer,2,2
SECS,CSE,BSc - Computer Science and Engineering,117,2019,Summer,2,2
SoB,ECO,BSc - Economics,3,2019,Summer,2,2
SECS,EEE,BSc - Electrical and Electronic Engineering,39,2019,Summer,2,2
SECS,EEE,BSc - Electronic and Telecommunication Engineering,4,2019,Summer,2,2
SESM,EMgt,BSc - Environmental Management,1,2019,Summer,2,2
SESM,ESc,BSc - Environmental Science,5,2019,Summer,2,2
SECS,PhySci,BSc - Mathematics (Hons),1,2019,Summer,2,2
SLS,SLS,BSc - Microbiology,7,2019,Summer,2,2
SECS,PhySci,BSc - Physics (Hons),2,2019,Summer,2,2
SLASS,LAW,LLB - Laws (Hons),18,2019,Summer,2,2
SESM,Phar,B.Pharm - Pharmacy,53,2019,Autumn,1,3
SLASS,ENG,BA - English Language Teaching,6,2019,Autumn,1,3
SLASS,ENG,BA - English Literature,17,2019,Autumn,1,3
SoB,BBA,BBA - Accounting,36,2019,Autumn,1,3
SoB,BBA,BBA - Finance,67,2019,Autumn,1,3
SoB,BBA,BBA - General Management,42,2019,Autumn,1,3
SoB,BBA,BBA - Human Resources Management,55,2019,Autumn,1,3
SoB,BBA,BBA - International Business,30,2019,Autumn,1,3
SoB,BBA,BBA - Investment Management,2,2019,Autumn,1,3
SoB,BBA,BBA - Management Information Systems,16,2019,Autumn,1,3
SoB,BBA,BBA - Marketing,82,2019,Autumn,1,3
SLASS,SOC,BSS - Anthropology,5,2019,Autumn,1,3
SLASS,SOC,BSS - Global Studies and Governance,2,2019,Autumn,1,3
SLASS,MED,BSS - Media and Communication,16,2019,Autumn,1,3
SLS,SLS,BSc - Biochemistry,1,2019,Autumn,1,3
SLS,SLS,BSc - Biochemistry and Biotechnology,23,2019,Autumn,1,3
SECS,CSE,BSc - Computer Engineering,5,2019,Autumn,1,3
SECS,CSE,BSc - Computer Science,17,2019,Autumn,1,3
SECS,CSE,BSc - Computer Science and Engineering,158,2019,Autumn,1,3
SoB,ECO,BSc - Economics,12,2019,Autumn,1,3
SECS,EEE,BSc - Electrical and Electronic Engineering,34,2019,Autumn,1,3
SECS,EEE,BSc - Electronic and Telecommunication Engineering,5,2019,Autumn,1,3
SESM,ESc,BSc - Environmental Management,5,2019,Autumn,1,3
SESM,EMgt,BSc - Environmental Science,17,2019,Autumn,1,3
SECS,PhySci,BSc - Mathematics (Hons),1,2019,Autumn,1,3
SLS,SLS,BSc - Microbiology,9,2019,Autumn,1,3
SECS,PhySci,BSc - Physics (Hons),4,2019,Autumn,1,3
SESM,POP,BSc - Population Environment,1,2019,Autumn,1,3
SLASS,LAW,LLB - Laws (Hons),13,2019,Autumn,1,3
SESM,Phar,B.Pharm - Pharmacy,59,2019,Autumn,2,3
SLASS,ENG,BA - English Language Teaching,1,2019,Autumn,2,3
SLASS,ENG,BA - English Literature,9,2019,Autumn,2,3
SoB,BBA,BBA - Accounting,37,2019,Autumn,2,3
SoB,BBA,BBA - Finance,53,2019,Autumn,2,3
SoB,BBA,BBA - General Management,26,2019,Autumn,2,3
SoB,BBA,BBA - Human Resources Management,31,2019,Autumn,2,3
SoB,BBA,BBA - International Business,18,2019,Autumn,2,3
SoB,BBA,BBA - Investment Management,2,2019,Autumn,2,3
SoB,BBA,BBA - Management Information Systems,11,2019,Autumn,2,3
SoB,BBA,BBA - Marketing,62,2019,Autumn,2,3
SLASS,SOC,BSS - Global Studies and Governance,1,2019,Autumn,2,3
SLASS,MED,BSS - Media and Communication,5,2019,Autumn,2,3
SLASS,SOC,BSS - Sociology,1,2019,Autumn,2,3
SLS,SLS,BSc - Biochemistry and Biotechnology,9,2019,Autumn,2,3
SECS,CSE,BSc - Computer Engineering,5,2019,Autumn,2,3
SECS,CSE,BSc - Computer Science,14,2019,Autumn,2,3
SECS,CSE,BSc - Computer Science and Engineering,153,2019,Autumn,2,3
SoB,ECO,BSc - Economics,5,2019,Autumn,2,3
SECS,EEE,BSc - Electrical and Electronic Engineering,31,2019,Autumn,2,3
SECS,EEE,BSc - Electronic and Telecommunication Engineering,2,2019,Autumn,2,3
SESM,EMgt,BSc - Environmental Management,3,2019,Autumn,2,3
SESM,ESc,BSc - Environmental Science,10,2019,Autumn,2,3
SLS,SLS,BSc - Microbiology,9,2019,Autumn,2,3
SECS,PhySci,BSc - Physics (Hons),3,2019,Autumn,2,3
SLASS,LAW,LLB - Laws (Hons),24,2019,Autumn,2,3